Ordered_Product_Id,order_date,qty
11420442,2019-01-01,7
11420442,2019-01-03,4
11420442,2019-01-04,1
11420442,2019-01-05,6
11420442,2019-01-06,3
11420442,2019-01-07,7
11420442,2019-01-08,6
11420442,2019-01-09,4
11420442,2019-01-12,7
11420442,2019-01-13,1
11420442,2019-01-14,3
11420442,2019-01-15,2
11420442,2019-01-16,7
11420442,2019-01-17,2
11420442,2019-01-18,3
11420442,2019-01-19,3
11420442,2019-01-20,5
11420442,2019-01-21,6
11420442,2019-01-22,5
11420442,2019-01-23,5
11420442,2019-01-24,2
11420442,2019-01-25,1
11420442,2019-01-26,1
11420442,2019-01-27,7
11420442,2019-01-28,2
11420442,2019-01-29,8
11420442,2019-01-30,5
11420442,2019-01-31,4
11420442,2019-02-01,5
11420442,2019-02-03,3
11420442,2019-02-04,3
11420442,2019-02-06,1
11420442,2019-02-07,1
11420442,2019-02-08,4
11420442,2019-02-09,3
11420442,2019-02-12,17
11420442,2019-02-14,5
11420442,2019-02-15,1
11420442,2019-02-16,1
11420442,2019-02-17,3
11420442,2019-02-18,1
11420442,2019-02-19,2
11420442,2019-02-20,1
11420442,2019-02-21,3
11420442,2019-02-22,3
11420442,2019-02-23,4
11420442,2019-02-24,1
11420442,2019-02-25,12
11420442,2019-02-26,2
11420442,2019-02-27,6
11420442,2019-02-28,3
11420442,2019-03-01,1
11420442,2019-03-02,4
11420442,2019-03-03,2
11420442,2019-03-04,2
11420442,2019-03-05,6
11420442,2019-03-06,6
11420442,2019-03-07,6
11420442,2019-03-08,2
11420442,2019-03-09,1
11420442,2019-03-12,9
11420442,2019-03-13,3
11420442,2019-03-14,1
11420442,2019-03-15,4
11420442,2019-03-16,5
11420442,2019-03-17,2
11420442,2019-03-18,2
11420442,2019-03-19,5
11420442,2019-03-20,1
11420442,2019-03-21,1
11420442,2019-03-22,6
11420442,2019-03-23,3
11420442,2019-03-24,4
11420442,2019-03-25,6
11420442,2019-03-27,4
11420442,2019-03-28,1
11420442,2019-03-29,6
11420442,2019-03-30,1
11420442,2019-03-31,1
11420442,2019-04-01,9
11420442,2019-04-02,4
11420442,2019-04-03,2
11420442,2019-04-04,3
11420442,2019-04-05,4
11420442,2019-04-06,1
11420442,2019-04-07,4
11420442,2019-04-08,2
11420442,2019-04-13,3
11420442,2019-04-14,4
11420442,2019-04-15,6
11420442,2019-04-16,2
11420442,2019-04-17,4
11420442,2019-04-18,5
11420442,2019-04-19,6
11420442,2019-04-20,5
11420442,2019-04-21,1
11420442,2019-04-22,2
